H1,operating system,"A program that manages a computer's hardware, provides a basis for application programs and acts as an intermediary between user and hardware."
H1,personal computer (PC),"An operating system that sports complex games, business applications and everything in between."
H1,the four main components of a computer system,"the hardware, te operating system, the application programs and the users"
H1,hardware,"The central processing unit (CPU), the memory and the input/output (I/O) devices provide the basic computing resources for the system."
H1,application programs,"Those define the way in which the resources are used to solve users' computing problems. some examples: word processors, spreadsheets, compilers, web browsers"
H1,resource utilisation,how various hardware and software resources are shared
H1,the principle of mainframes and minicomputers,"Many users access the same computer through other terminals. These users share resources and may exchange information. The operating system is designed to maximise resource utilisation, to assure that hardware is used efficiently and to assure that no user takes more than its fair share."
H1,the principle of workstations,"Many users can access a network of other workstations and servers. They have dedicated resources, but also share resources such as networking and servers, including file, compute and print servers. Their operating system is designed to compromise between individual usability and resource utilisation."
H1,touch screen,A screen used by mobile computers. The user interacts with the system by pressing and swiping fingers across the screen rather than using a physical keyboard and mouse.
H1,resource allocator,An operating system can be seen as a resource allocator for computer system. It acts as the manager of resources and must decide how to allocate them to specific programs and users so that it can operate the computer system efficiently and fairly.
H1,control program,An operating system is a control program. It has to manage the execution of user programs to prevent errors and improper use of the computers. It needs to control various I/O devices too.
H1,Moore's prediciton,The number of transistors on an integrated circuit will double every 18 months.
H1,the three types of programs,"kernel, system programs, application programs"
H1,kernel,the one program running at all times
H1,system programs,"programs associated with the operating system, but not necessarily part of the kernel"
H1,application programs,all programs not associated with the operation of the system
H1,middleware,"a set of software frameworks that provide additional services to application developpers; examples: databases, multimedia and graphics supporting middleware"
H1,bootstrap program,"This is the program a computer initially needs to start running. It is usually simple and is typically stored in ROM or EEPROM. It is generally known by the term firmware. It initialises all aspects of the system and it must know how to load the operating system, as well as how to start executing that system.The bootstrap program must locate the operating-system kernel and load it into memory."
H1,ROM,"read-only memory, bootstrap program often resides on ROM"
H1,EEPROM,"electrically erasable programmable read-only memory, bootstrap program often resides on EEPROM"
H1,system process/system daemon,This is a system program that is loaded in to memory at boot time. It runs the entire time the kernel is running.
H1,interrupt,"This signals the occurence of an event. Hardware may trigger interruptsat any time by sending a signal to the CPU, usually using the system bus. Software may trigger an interrupt by executing a special operation called a system call (also monitor call)."
H1,system call,a software-generated interrupt
H1,interrupt vector,"a table of pointers, stored in low memory, containing the adresses of the interrupt service routines for the various devices. "
H1,RAM,"random-access memory or main memory, which is rewritable, whence general-purpose computers run their programs"
H1,DRAM,"dynamic random-access memory, common implementation of RAM using semiconductor technology"
H1,von Neumann architecture,computer architecture that is used in nearly all modern general-usage computers
H1,instruction register,"the register where the instruction to be executed is stored in a typical instruction-execution cycle, as executed on a system with a von Neumann architecture"
H1,volatile storage,"storage that needs power to maintain information, examples: registers, cache, main memory"
H1,secondary storage,"an extension of the main memory that most computer systems provide, able to hold large quantities of data permanently"
H1,magnetic disk,most common secondary-storage device
H1,the hierarchy of storage devices,registers - cache - main memory - solid-state disk - magnetic disk - optical disk - magnetic tapes
H1,semiconductor memory,"memory that uses semiconductor technology, is fast and relatively cheap, examples: registers, cache, main memory, solid-state disk"
H1,non-volatile storage,"storage that does not need power to maintain information, examples: solid-state disk, magnetic disk, optical disk, magnetic tapes"
H1,Solid-state disks,"storage device that is faster than magnetic disks and non-volatile, there are multiple types of solid-state disks"
H1,PDA,personal digital assistant
H1,NVRAM,"non-volatile RAM, consists of DRAM with battery backup power, is as fast as DRAM as long as the battery lasts"
H1,SCSI,"small computer-system interface, device controller to which seven or more devices can be attached"
H1,device controller,"is in charge of a specific type of device, maintains some local buffer storage and a set of special-purpose registers, is responsible for moving data between the peripheral device and the local buffer storage"
H1,device driver,"operating systems have one for each device controller, understands the device controller, provides the rest of the operating system with a uniform interface to the device"
H1,DMA,"direct memory access, transfer of entire block of data directly to/from memory from/to device controller buffer, only one interrupt is generated per block, CPU can do other work concurrently"
H1,special-purpose processor,"runs a limited instruction set, does not run user processes, sometimes managed by operating system, relieves CPU of some tasks/overhead, sometimes low-level autonomous components, in that case operating system can not commmunicate with these special-purpose processors"
H1,multiprocessor/parallel/multicore systems,"systems with two or more processors in close communication, sharing bus, sometimes sharing clock, memory and peripheral devices"
H1,three advantages of multiprocessors,"increased throughput, economy of scale, increased reliability"
H1,increased throughput due to multiprocessors,"more processors = more work done, speed up ratio of N processors is lower than N due to overhead"
H1,economy of scale due to multiprocessors,"more processors on one bus= less cost, shared peripherals, mass storage and power supplies"
H1,increased reliability due to multiprocessors,"more processors = less chance of  total failure, other processors can pick up a share of work when one fails"
H1,graceful degradation,the ability to continue providing service proportional to the level of surviving hardware
H1,fault tolerance,"the ability to suffer a failure of any single component and still continue operation, requires a mechanism to detect, diagnose and correct failure"
H1,asymmetric multiprocessing,"each processor has a specific task, one is the boss processor and controls the system, other processors look to the boss for instructions or have predefined tasks"
H1,symmetric multiprocessing,"each processor performs all tasks within the operating system, all processors are peers, each processor has its own set of registers and private/local cache, pysical memory is shared, "
H1,uniform memory access (UMA),the situation in which access to any RAM from any CPU takes the same amount of time
H1,non-uniform memory access (NUMA),"the situation in which access to some parts of memory may take longer to access than other parts, creating a performance penalty"
H1,computing core,"independent actual processing unit, a multicore CPU consists of more computing cores"
H1,multicore processor,a processor with multiple computing cores
H1,benefits of multicore processors,"on-chip communication is faster than between-chip communication, one chip with multiple processors uses significantly less power than multiple single-core chips"
